294783	293938
155436	154999
91919	91065
149159	148239
278812	276647
52381	51524
199152	198517
118797	118345
156576	156223
213549	211444
39903	39127
133562	131385
134172	133570
239152	237347
26473	26036
118342	118025
141410	140040
533235	533041
114314	113895
461689	461015
460494	460126
321052	320177
38977	36977
257893	257818
276628	276167
53219	52365
421358	420333
541792	541241
162435	160963
137268	136105
233034	232009
142056	141346
63058	61406
266043	265597
306813	306740
293445	291334
236621	236247
68543	67650
197602	197177
236062	235517
94548	91924
129355	128687
564931	563993
124317	123580
279207	278905
280674	279799
445153	445078
77685	73690
181018	180746
171525	170007
534322	533807
30548	30093
4797	2845
406929	406542
27345	26479
464622	462619
340529	338367
146667	144973
281086	280664
106660	105452
346633	345182
184862	184053
156223	155444
109675	109262
266499	266423
112725	111790
96955	94535
121387	120191
130295	129348
273318	271840
198163	197609
184053	183214
281963	281079
218518	216761
348851	348261
7322	4812
557315	556437
152721	151306
30124	29552
111789	110917
174793	174690
113866	112718
279499	279200
257345	257269
188531	187302
309009	307930
144958	143936
194468	193662
28449	27346
201675	201031
479577	478999
447790	446576
186149	184875
143318	142563
194890	194474
250996	250808
202424	201678
229067	225906
110355	109675
349202	349128
84044	82620
191778	191143
165387	163591
198512	198165
279806	279492
355857	355120
251441	250998
207850	206588
24468	23542
8547	7294
49642	49376
257815	257742
257121	255595
138091	137255
102457	99383
196121	195753
190366	190046
480226	479570
12039	11251
239817	239164
210390	208567
23558	22389
283327	281993
193222	192959
203134	202760
259159	258041
131127	130285
357478	355847
307591	306821
400048	399960
17426	15555
139407	138106
12724	12068
116874	114808
253995	252580
257740	257664
444422	443922
128712	127279
114798	114331
511376	510903
211344	210391
117552	116926
450219	449665
264594	259177
321642	321046
127286	125853
250808	250149
481332	480691
220438	219482
158020	156566
41786	40542
347252	346854
136120	135338
275135	274653
235458	233038
251788	251444
320061	319207
290645	288753
98903	96933
191143	190370
148236	146674
445045	444413
422693	421467
196995	196453
387269	386463
460103	459615
167180	165471
219510	218521
196447	196121
118035	117553
192959	192102
310380	309010
541241	540510
236244	236065
90954	88228
349137	348883
293945	293448
268010	267081
135338	134769
140026	139397
160100	159798
123523	121571
81035	79089
206595	205681
120187	118781
533696	533271
306691	306617
244569	242224
2760	1828
9920	9156
265637	264597
270359	269250
448864	448783
257234	257158
22347	19252
104327	103104
225904	221570
254602	253979
285783	283396
269247	268012
142554	142081
460670	460497
203499	203134
221563	220607
51519	49840
195749	195492
193659	193225
451610	451197
9183	8551
143955	143311
153939	153082
355130	354024
306098	305001
479006	477168
276163	275141
544157	543006
271874	270405
29548	28652
11251	9923
274653	273790
82596	81046
348258	347215
267091	266666
61005	59740
202760	202647
187263	186136
125850	124417
202636	202424
556452	555667
306654	306202
56739	55588
153076	152768
318325	315701
319207	318332
399958	399868
307930	307637
204885	204514
131382	131149
201037	199610
105450	104320
247910	247407
197183	196998
44753	43401
179146	175805
99319	98906
195492	194890
192102	191782
291328	290648
312808	310511
110924	110355
252587	251781
458270	457347
182864	181005
55604	54657
406139	405456
43428	41776
19242	17473
59753	59082
448725	447790
26006	24468
533018	531669
72572	70530
247426	245633
79085	77685
540529	539633
204501	203515
189956	189492
31153	30548
163591	162377
457372	456755
205696	204872
423113	422697
208577	207843
450722	450222
1828	686
240195	239827
199610	199158
73434	72523
257521	257445
158309	158023
151328	149199
183189	182851
255592	254621
288747	286885
109206	106660
59078	58362
242224	240323
180746	179151
558949	557759
54655	53204
542986	541793
189452	188607
257650	257559
174461	171728
61406	61014
216768	216016
49355	47580
462617	461682
257425	257349
